id	year	stratum	status	evidence_tier
1inch-us-geofence-2021-09	2021	S5_corporate	admitted	admission_grade
1mdc-egold-account-freeze-2007-04	2007	S3_doj_sec_cftc_fiod	admitted	admission_grade
aave-arc-fireblocks-whitelist-2022-01	2022	S5_corporate	admitted	admission_grade
aave-tornado-frontend-block-2022-08	2022	S5_corporate	admitted	admission_grade
aeza-group-ofac-2025	2025	S1_ofac_sdn	admitted	admission_grade
al-law-hezbollah-crypto-ofac-2024-03	2024	S1_ofac_sdn	admitted	admission_grade
algeria-finance-law-2018-crypto-prohibition	2017	S4_nation_state	admitted	admission_grade
alphabay-hansa-doj-2017	2017	S3_doj_sec_cftc_fiod	admitted	admission_grade
apple-india-crypto-exchange-removal-2024-01	2024	S5_corporate	admitted	admission_grade
apple-uniswap-wallet-app-store-rejection-2023-03	2023	S5_corporate	admitted	admission_grade
argentina-bcra-banks-crypto-services-ban-2022-05	2022	S4_nation_state	admitted	admission_grade
argentina-cnv-psav-registration-2024	2024	S4_nation_state	admitted	admission_grade
argentina-uif-resolution-300-2014	2014	S4_nation_state	admitted	admission_grade
augur-v2-us-uk-geofence-2020-07	2020	S5_corporate	admitted	admission_grade
australia-asic-binance-derivatives-2023	2023	S4_nation_state	admitted	admission_grade
bangladesh-bb-bitcoin-warning-2014	2014	S4_nation_state	admitted	admission_grade
bcbs-cryptoasset-prudential-standard-sco60-2022	2022	S6_supranational	admitted	admission_grade
belgium-fsma-binance-cease-2023	2023	S4_nation_state	admitted	admission_grade
binance-4framework-2023	2023	S3_doj_sec_cftc_fiod	admitted	admission_grade
binance-busd-wind-down-2024	2024	S5_corporate	admitted	admission_grade
binance-cftc-2023	2023	S3_doj_sec_cftc_fiod	admitted	admission_grade
binance-com-us-customer-geofence-2019-06	2019	S5_corporate	admitted	attested_secondary
binance-dex-29-country-geoblock-2019-07	2019	S5_corporate	admitted	admission_grade
binance-eea-usdt-spot-delisting-2025-03	2025	S5_corporate	admitted	attested_secondary
binance-hamas-account-freeze-israel-2023-10	2023	S5_corporate	admitted	admission_grade
binance-monero-global-delisting-2024-02	2024	S5_corporate	admitted	admission_grade
binance-netherlands-exit-2023-07	2023	S5_corporate	admitted	admission_grade
binance-nigeria-naira-services-end-2024-03	2024	S5_corporate	admitted	admission_grade
binance-palestinian-accounts-seizure-israel-2023-11	2023	S5_corporate	admitted	attested_secondary
binance-privacy-coin-delisting-2023	2023	S5_corporate	admitted	admission_grade
binance-russia-exit-commex-2023	2023	S5_corporate	admitted	admission_grade
binance-russia-gunmaker-asset-freeze-ukraine-2022-08	2022	S5_corporate	admitted	attested_secondary
binance-uk-new-user-halt-2023-10	2023	S5_corporate	admitted	attested_secondary
binance-us-staking-end-2023	2023	S5_corporate	admitted	admission_grade
bitcoinica-shutdown-2012-05	2012	S5_corporate	admitted	admission_grade
bitfinex-cftc-retail-commodity-2016	2016	S3_doj_sec_cftc_fiod	admitted	admission_grade
bitfinex-tether-cftc-2021	2021	S3_doj_sec_cftc_fiod	admitted	admission_grade
bitfinex-tether-nyag-2021	2021	S4_nation_state	admitted	admission_grade
bitfinex-us-retail-customer-exit-2017-11	2017	S5_corporate	draft	admission_grade
bitfloor-capital-one-debanking-2013-04	2013	S5_corporate	admitted	admission_grade
bitmex-cftc-doj-2020	2020	S3_doj_sec_cftc_fiod	admitted	admission_grade
bitmex-fincen-2024	2024	S3_doj_sec_cftc_fiod	admitted	admission_grade
