phase,event_id,country,domain,input,since,until,retrieval_status,historical_measurement_denominator,retrieved_rows,distinct_asns,distinct_probes,anomalous_measurements,confirmed_measurements,failed_measurements,request_failures,http_statuses,error_messages
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,binance.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,www.binance.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,okx.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,www.okx.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,bybit.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,ethiopia-nbe-exchange-website-block-2025-11,ET,www.bybit.com,,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,bybit.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,www.bybit.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,1000x.live,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,www.1000x.live,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,coinex.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,www.coinex.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,okx.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,www.okx.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,xt.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
domain_window,thailand-sec-unlicensed-exchange-block-2025-06,TH,www.xt.com,,2025-05-15,2025-07-29,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
exact_https_window,ethiopia-nbe-exchange-website-block-2025-11,ET,,https://binance.com/,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
exact_https_window,ethiopia-nbe-exchange-website-block-2025-11,ET,,https://www.binance.com/,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
exact_https_window,ethiopia-nbe-exchange-website-block-2025-11,ET,,https://okx.com/,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
exact_https_window,ethiopia-nbe-exchange-website-block-2025-11,ET,,https://www.okx.com/,2025-09-15,2025-12-07,request_failed,,0,,,,,,1,[None],['TimeoutError: The read operation timed out']
