row_id,event_id,layer,original_value
0,chatex-ofac-2021,asset_onchain,direct
1,chatex-ofac-2021,l4_frontend,direct
2,cryptex-ofac-2024,l4_frontend,direct
3,cryptex-ofac-2024,asset_onchain,direct
4,cryptex-ofac-2024,asset_onchain,direct
5,cryptex-ofac-2024,asset_onchain,direct
6,sec-v-binance-2023,l4_frontend,direct
7,sec-v-binance-2023,offramp_cex,direct
8,tornado-cash-ofac-2022,l1_consensus,plausible
9,tornado-cash-ofac-2022,l3_rpc,direct
10,tornado-cash-ofac-2022,asset_onchain,direct
11,tornado-cash-ofac-2022,l4_frontend,plausible
12,tornado-cash-ofac-2022,offramp_cex,direct
13,tornado-cash-ofac-delisting-2025,l4_frontend,direct
14,tornado-cash-ofac-delisting-2025,asset_onchain,direct
15,tornado-cash-ofac-delisting-2025,l3_rpc,plausible
16,tornado-cash-ofac-delisting-2025,l1_consensus,plausible
17,hydra-ofac-2022,l4_frontend,direct
18,tether-retroactive-sweep-2023,asset_onchain,direct
19,suex-ofac-2021,asset_onchain,direct
20,korea-travel-rule-2022,offramp_cex,direct
21,china-pboc-crypto-ban-2021,offramp_cex,direct
22,china-pboc-crypto-ban-2021,offramp_cex,direct
23,uniswap-frontend-delisting-2023,l4_frontend,direct
24,hydra-doj-2022,l4_frontend,direct
