row_id,event_id,layer,original_value
0,cryptex-ofac-2024,l0_network,not_measured
1,cryptex-ofac-2024,l1_consensus,measured
2,cryptex-ofac-2024,l3_rpc,not_measured
3,cryptex-ofac-2024,l4_frontend,measured
4,cryptex-ofac-2024,asset_onchain,measured
5,cryptex-ofac-2024,offramp_cex,not_measured
6,tornado-cash-ofac-2022,l0_network,not_measured
7,tornado-cash-ofac-2022,l1_consensus,partially_measured
8,tornado-cash-ofac-2022,l3_rpc,partially_measured
9,tornado-cash-ofac-2022,l4_frontend,measured
10,tornado-cash-ofac-2022,asset_onchain,measured
11,tornado-cash-ofac-2022,offramp_cex,partially_measured
12,semenov-ofac-2023,l0_network,not_measured
13,semenov-ofac-2023,l1_consensus,measured
14,semenov-ofac-2023,l3_rpc,not_measured
15,semenov-ofac-2023,l4_frontend,not_measured
16,semenov-ofac-2023,asset_onchain,measured
17,semenov-ofac-2023,offramp_cex,not_measured
18,turkey-cbrt-crypto-ban-2021,l0_network,not_applicable
19,turkey-cbrt-crypto-ban-2021,l1_consensus,not_applicable
20,turkey-cbrt-crypto-ban-2021,l3_rpc,not_applicable
21,turkey-cbrt-crypto-ban-2021,l4_frontend,not_applicable
22,turkey-cbrt-crypto-ban-2021,asset_onchain,not_applicable
23,turkey-cbrt-crypto-ban-2021,offramp_cex,measured
24,blender-ofac-2022,l0_network,not_measured
25,blender-ofac-2022,l1_consensus,not_applicable
26,blender-ofac-2022,l3_rpc,not_applicable
27,blender-ofac-2022,l4_frontend,measured
28,blender-ofac-2022,asset_onchain,not_applicable
29,blender-ofac-2022,offramp_cex,not_measured
30,hydra-doj-2022,l0_network,not_applicable
31,hydra-doj-2022,l1_consensus,not_applicable
32,hydra-doj-2022,l3_rpc,not_applicable
33,hydra-doj-2022,l4_frontend,measured
34,hydra-doj-2022,asset_onchain,not_applicable
35,hydra-doj-2022,offramp_cex,not_measured
36,tether-retroactive-sweep-2023,l0_network,not_applicable
37,tether-retroactive-sweep-2023,l1_consensus,not_applicable
38,tether-retroactive-sweep-2023,l3_rpc,not_applicable
39,tether-retroactive-sweep-2023,l4_frontend,not_applicable
40,tether-retroactive-sweep-2023,asset_onchain,measured
41,tether-retroactive-sweep-2023,offramp_cex,not_applicable
42,india-rbi-crypto-ban-2018,l0_network,not_applicable
43,india-rbi-crypto-ban-2018,l1_consensus,not_applicable
44,india-rbi-crypto-ban-2018,l3_rpc,not_applicable
45,india-rbi-crypto-ban-2018,l4_frontend,not_measured
46,india-rbi-crypto-ban-2018,asset_onchain,not_applicable
47,india-rbi-crypto-ban-2018,offramp_cex,measured
48,korea-travel-rule-2022,l0_network,not_applicable
49,korea-travel-rule-2022,l1_consensus,not_applicable
50,korea-travel-rule-2022,l3_rpc,not_applicable
51,korea-travel-rule-2022,l4_frontend,not_applicable
52,korea-travel-rule-2022,asset_onchain,not_applicable
53,korea-travel-rule-2022,offramp_cex,measured
54,russian-cybercrime-infra-ofac-2025,l0_network,not_applicable
55,russian-cybercrime-infra-ofac-2025,l1_consensus,not_applicable
56,russian-cybercrime-infra-ofac-2025,l3_rpc,not_applicable
57,russian-cybercrime-infra-ofac-2025,l4_frontend,not_applicable
58,russian-cybercrime-infra-ofac-2025,asset_onchain,not_applicable
59,russian-cybercrime-infra-ofac-2025,offramp_cex,measured
60,matveev-ofac-2023,l0_network,not_applicable
61,matveev-ofac-2023,l1_consensus,not_applicable
62,matveev-ofac-2023,l3_rpc,not_applicable
63,matveev-ofac-2023,l4_frontend,not_applicable
64,matveev-ofac-2023,asset_onchain,not_measured
65,matveev-ofac-2023,offramp_cex,measured
66,lazarus-laundering-ofac-2020,l0_network,not_applicable
67,lazarus-laundering-ofac-2020,l1_consensus,not_applicable
68,lazarus-laundering-ofac-2020,l3_rpc,not_applicable
69,lazarus-laundering-ofac-2020,l4_frontend,not_applicable
70,lazarus-laundering-ofac-2020,asset_onchain,not_applicable
71,lazarus-laundering-ofac-2020,offramp_cex,measured
72,uniswap-frontend-delisting-2023,l0_network,not_applicable
73,uniswap-frontend-delisting-2023,l1_consensus,not_applicable
74,uniswap-frontend-delisting-2023,l3_rpc,not_applicable
75,uniswap-frontend-delisting-2023,l4_frontend,measured
76,uniswap-frontend-delisting-2023,asset_onchain,not_applicable
77,uniswap-frontend-delisting-2023,offramp_cex,not_applicable
78,tether-dprk-precommit-freeze-2025,l0_network,not_applicable
79,tether-dprk-precommit-freeze-2025,l1_consensus,not_applicable
80,tether-dprk-precommit-freeze-2025,l3_rpc,not_applicable
81,tether-dprk-precommit-freeze-2025,l4_frontend,not_applicable
82,tether-dprk-precommit-freeze-2025,asset_onchain,measured
83,tether-dprk-precommit-freeze-2025,offramp_cex,not_applicable
84,nigeria-cbn-crypto-ban-2021,l0_network,not_applicable
85,nigeria-cbn-crypto-ban-2021,l1_consensus,not_applicable
86,nigeria-cbn-crypto-ban-2021,l3_rpc,not_applicable
87,nigeria-cbn-crypto-ban-2021,l4_frontend,not_applicable
88,nigeria-cbn-crypto-ban-2021,asset_onchain,not_applicable
89,nigeria-cbn-crypto-ban-2021,offramp_cex,measured
