row_id,event_id,layer,original_value
0,cryptex-ofac-2024,l4_frontend,observed_change
1,cryptex-ofac-2024,asset_onchain,observed_change
2,cryptex-ofac-2024,asset_onchain,observed_change
3,cryptex-ofac-2024,asset_onchain,observed_change
4,cryptex-ofac-2024,l1_consensus,observed_no_change
5,tornado-cash-ofac-2022,l1_consensus,observed_change
6,tornado-cash-ofac-2022,l3_rpc,observed_change
7,tornado-cash-ofac-2022,asset_onchain,observed_change
8,tornado-cash-ofac-2022,l4_frontend,observed_change
9,tornado-cash-ofac-2022,offramp_cex,observed_change
10,semenov-ofac-2023,asset_onchain,observed_change
11,semenov-ofac-2023,asset_onchain,observed_change
12,semenov-ofac-2023,l1_consensus,observed_no_change
13,turkey-cbrt-crypto-ban-2021,offramp_cex,observed_change
14,blender-ofac-2022,l4_frontend,observed_change
15,hydra-doj-2022,l4_frontend,observed_change
16,tether-retroactive-sweep-2023,asset_onchain,observed_change
17,india-rbi-crypto-ban-2018,offramp_cex,observed_change
18,korea-travel-rule-2022,offramp_cex,observed_change
19,russian-cybercrime-infra-ofac-2025,offramp_cex,observed_no_change
20,matveev-ofac-2023,offramp_cex,observed_no_change
21,lazarus-laundering-ofac-2020,offramp_cex,observed_no_change
22,uniswap-frontend-delisting-2023,l4_frontend,observed_change
23,tether-dprk-precommit-freeze-2025,asset_onchain,observed_change
24,nigeria-cbn-crypto-ban-2021,offramp_cex,observed_change
