event_id,admission_tier,trigger_type,path
chatex-ofac-2021,anchor_case,ofac_sdn_designation,events/chatex-ofac-2021.yaml
cryptex-ofac-2024,anchor_case,ofac_sdn_designation,events/cryptex-ofac-2024.yaml
sec-v-binance-2023,anchor_case,sec_action,events/sec-v-binance-2023.yaml
tornado-cash-ofac-2022,anchor_case,ofac_sdn_designation,events/tornado-cash-ofac-2022.yaml
tornado-cash-ofac-delisting-2025,anchor_case,ofac_sdn_removal,events/tornado-cash-ofac-delisting-2025.yaml
hydra-ofac-2022,empirical_case,ofac_sdn_designation,events/hydra-ofac-2022.yaml
tether-retroactive-sweep-2023,empirical_case,corporate_policy_change,events/tether-retroactive-sweep-2023.yaml
suex-ofac-2021,empirical_case,ofac_sdn_designation,events/suex-ofac-2021.yaml
korea-travel-rule-2022,empirical_case,nation_state_block,events/korea-travel-rule-2022.yaml
china-pboc-crypto-ban-2021,empirical_case,nation_state_block,events/china-pboc-crypto-ban-2021.yaml
uniswap-frontend-delisting-2023,empirical_case,corporate_policy_change,events/uniswap-frontend-delisting-2023.yaml
hydra-doj-2022,empirical_case,doj_seizure_order,events/hydra-doj-2022.yaml
matveev-ofac-2023,null_case,ofac_sdn_designation,events/matveev-ofac-2023.yaml
storm-semenov-doj-2023,null_case,doj_indictment,events/storm-semenov-doj-2023.yaml
lazarus-entity-ofac-2019,null_case,ofac_sdn_designation,events/lazarus-entity-ofac-2019.yaml
