scope,layer,events,measured,partially_measured,not_measured,not_applicable,missing
all_records,l0_network,420,0,5,19,396,0
all_records,l1_consensus,420,8,8,2,402,0
all_records,l3_rpc,420,1,6,6,407,0
all_records,l4_frontend,420,58,24,50,288,0
all_records,asset_onchain,420,23,4,27,366,0
all_records,offramp_cex,420,271,51,24,74,0
admitted,l0_network,398,0,5,19,374,0
admitted,l1_consensus,398,8,8,2,380,0
admitted,l3_rpc,398,1,6,6,385,0
admitted,l4_frontend,398,57,21,46,274,0
admitted,asset_onchain,398,23,4,22,349,0
admitted,offramp_cex,398,257,51,21,69,0
