event_id,admission_tier,research_stratum,empirical_shape,trigger_type,trigger_precision_bucket,target_kind,target_enumeration,changed_layer_count,derived_archetype,trigger_is_action,is_reversal_event,last_verified,last_human_audit
aeza-group-ofac-2025,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,entity,subset,1,asset_only,False,False,2026-04-22,
binance-4framework-2023,empirical_case,S3_doj_sec_cftc_fiod,comparison,doj_indictment,day,entity,subset,1,cex_only,False,False,2026-04-22,
bitzlato-doj-2023,empirical_case,S3_doj_sec_cftc_fiod,comparison,doj_indictment,day,entity,complete,1,cex_only,False,False,2026-04-21,
blender-ofac-2022,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,address_set,complete,1,frontend_only,False,False,2026-04-21,
btc-e-doj-2017,empirical_case,S3_doj_sec_cftc_fiod,comparison,doj_indictment,day,entity,subset,1,frontend_only,False,False,2026-04-22,
canada-convoy-freeze-2022,empirical_case,S4_nation_state,comparison,nation_state_block,day,entity,subset,1,cex_only,False,False,2026-04-22,
cftc-v-ooki-dao-2022,empirical_case,S3_doj_sec_cftc_fiod,comparison,cftc_action,day,entity,complete,1,frontend_only,False,False,2026-04-22,
chatex-ofac-2021,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,address_set,complete,2,multi_layer,False,False,2026-04-22,
china-pboc-crypto-ban-2021,empirical_case,S4_nation_state,comparison,nation_state_block,hour,entity,complete,1,cex_only,False,False,2026-04-21,
chipmixer-doj-2023,empirical_case,S3_doj_sec_cftc_fiod,comparison,doj_seizure_order,day,entity,subset,1,frontend_only,False,False,2026-04-22,
circle-usdc-tornado-2022,empirical_case,S5_corporate,comparison,corporate_policy_change,hour,address_set,subset,1,asset_only,True,False,2026-04-22,
coinbase-india-exit-2022,empirical_case,S5_corporate,comparison,corporate_policy_change,day,domain,complete,1,cex_only,False,False,2026-04-22,
cryptex-ofac-2024,anchor_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,address_set,complete,2,multi_layer,False,False,2026-04-21,2026-04-22
dprk-usdt-network-ofac-2025,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,address_set,complete,1,asset_only,False,False,2026-04-22,
eu-12th-russia-sanctions-2023,empirical_case,S6_supranational,comparison,non_us_sanctions,day,entity,subset,1,cex_only,False,False,2026-04-22,
eu-mica-2023,empirical_case,S6_supranational,comparison,supranational_regulation,day,entity,subset,1,cex_only,False,False,2026-04-22,
funnull-cdn-ofac-2025,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,entity,subset,1,asset_only,False,False,2026-04-22,
garantex-ofac-2022,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,entity,complete,1,cex_only,False,False,2026-04-21,
grinex-garantex-successor-ofac-2025,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,address_set,complete,1,asset_only,False,False,2026-04-21,
hydra-doj-2022,empirical_case,S3_doj_sec_cftc_fiod,comparison,doj_seizure_order,day,entity,subset,1,frontend_only,False,False,2026-04-22,
hydra-ofac-2022,empirical_case,S1_ofac_sdn,comparison,ofac_sdn_designation,day,entity,complete,1,frontend_only,False,False,2026-04-21,
india-rbi-crypto-ban-2018,empirical_case,S4_nation_state,comparison,nation_state_block,day,entity,subset,1,cex_only,False,False,2026-04-22,
iran-ransomware-ofac-2018,null_case,S1_ofac_sdn,null_event,ofac_sdn_designation,day,address_set,complete,0,null_event,False,False,2026-04-22,
irgc-ransomware-ofac-2022,null_case,S1_ofac_sdn,null_event,ofac_sdn_designation,day,address_set,complete,0,null_event,False,False,2026-04-22,
korea-travel-rule-2022,empirical_case,S4_nation_state,comparison,nation_state_block,day,entity,subset,1,cex_only,False,False,2026-04-22,
