event_id,research_stratum,admission_tier,derived_archetype,time_to_first_change_hours,trigger_is_action,changed_layer_count,trigger_precision_bucket
china-pboc-crypto-ban-2021,S4_nation_state,empirical_case,cex_only,13.15,False,1,hour
tornado-cash-ofac-2022,S1_ofac_sdn,anchor_case,multi_layer,2.85,False,5,hour
aeza-group-ofac-2025,S1_ofac_sdn,empirical_case,asset_only,30.42,False,1,day
binance-4framework-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day
bitzlato-doj-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day
blender-ofac-2022,S1_ofac_sdn,empirical_case,frontend_only,251.6,False,1,day
btc-e-doj-2017,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,0.0,False,1,day
canada-convoy-freeze-2022,S4_nation_state,empirical_case,cex_only,24.0,False,1,day
cftc-v-ooki-dao-2022,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,6192.0,False,1,day
chatex-ofac-2021,S1_ofac_sdn,empirical_case,multi_layer,28.25,False,2,day
chipmixer-doj-2023,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,17.1,False,1,day
coinbase-india-exit-2022,S5_corporate,empirical_case,cex_only,72.0,False,1,day
cryptex-ofac-2024,S1_ofac_sdn,anchor_case,multi_layer,3.58,False,2,day
dprk-usdt-network-ofac-2025,S1_ofac_sdn,empirical_case,asset_only,21.63,False,1,day
eu-12th-russia-sanctions-2023,S6_supranational,empirical_case,cex_only,0.0,False,1,day
eu-mica-2023,S6_supranational,empirical_case,cex_only,0.0,False,1,day
funnull-cdn-ofac-2025,S1_ofac_sdn,empirical_case,asset_only,7.78,False,1,day
garantex-ofac-2022,S1_ofac_sdn,empirical_case,cex_only,0.0,False,1,day
grinex-garantex-successor-ofac-2025,S1_ofac_sdn,empirical_case,asset_only,21.25,False,1,day
hydra-doj-2022,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,0.0,False,1,day
hydra-ofac-2022,S1_ofac_sdn,empirical_case,frontend_only,0.0,False,1,day
india-rbi-crypto-ban-2018,S4_nation_state,empirical_case,cex_only,2184.0,False,1,day
korea-travel-rule-2022,S4_nation_state,empirical_case,cex_only,0.0,False,1,day
lockbit-affiliates-ofac-2024,S1_ofac_sdn,empirical_case,asset_only,24.32,False,1,day
nigeria-cbn-crypto-ban-2021,S4_nation_state,empirical_case,cex_only,0.0,False,1,day
russia-election-interference-ofac-2020,S1_ofac_sdn,empirical_case,asset_only,13560.82,False,1,day
russian-cyber-theft-ofac-2020,S1_ofac_sdn,empirical_case,asset_only,5217.07,False,1,day
samourai-doj-2024,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,19.66,False,1,day
sec-v-binance-2023,S3_doj_sec_cftc_fiod,empirical_case,multi_layer,96.0,False,2,day
sec-v-coinbase-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day
semenov-ofac-2023,S1_ofac_sdn,empirical_case,asset_only,24.27,False,1,day
suex-ofac-2021,S1_ofac_sdn,empirical_case,asset_only,49.73,False,1,day
tornado-cash-ofac-delisting-2025,S2_ofac_removal,empirical_case,multi_layer,0.0,False,4,day
tornado-cash-ofac-redesignation-2022,S1_ofac_sdn,empirical_case,asset_only,9509.3,False,1,day
turkey-cbrt-crypto-ban-2021,S4_nation_state,empirical_case,cex_only,336.0,False,1,day
circle-usdc-tornado-2022,S5_corporate,empirical_case,asset_only,0.0,True,1,hour
tether-doj-pig-butchering-freeze-2023,S5_corporate,empirical_case,cex_only,0.0,True,1,day
tether-dprk-precommit-freeze-2025,S5_corporate,empirical_case,asset_only,0.0,True,1,hour
tether-retroactive-sweep-2023,S5_corporate,empirical_case,asset_only,0.0,True,1,hour
uniswap-frontend-delisting-2023,S5_corporate,empirical_case,frontend_only,0.0,True,1,day
