event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
australia-asic-binance-derivatives-2023,10,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
belgium-fsma-binance-cease-2023,12,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
binance-cftc-2023,15,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
binance-privacy-coin-delisting-2023,16,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
binance-russia-exit-commex-2023,17,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
binance-us-staking-end-2023,18,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitfinex-cftc-retail-commodity-2016,20,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitfinex-tether-cftc-2021,21,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitmex-cftc-doj-2020,23,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
canada-csa-binance-withdrawal-2023,35,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
celsius-bankruptcy-mashinsky-doj-2023,36,repair_replayable_trigger_anchor,https://cases.stretto.com/celsius/,captured;patched_fields=2,sha256:b889e7875b38b8d0ad0f91f7f24388aa1f36b0af797d1ff4c094f032ac0c74f6,sources/http_captures/celsius-bankruptcy-mashinsky-doj-2023/v0_3_repair/cases.stretto.com__celsius__f15ad87980.html,sources/http_captures/celsius-bankruptcy-mashinsky-doj-2023/v0_3_repair/cases.stretto.com__celsius__f15ad87980.json,
china-pboc-crypto-ban-2013-12,43,repair_replayable_trigger_anchor,http://www.gov.cn/gzdt/2013-12/05/content_2542584.htm,capture_failed,,,,HTTPError 404
coinflip-cftc-derivabit-2015,58,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-russia-crypto-wallet-cap-2022,77,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-russia-full-crypto-wallet-ban-2022,78,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-tfr-recast-2023,79,repair_replayable_trigger_anchor,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32023R1113,captured;patched_fields=8,sha256:6d2fde2549fcf25aca4602a9c693eec1589740e5a83f0cb26d303c7ec90c064e,sources/http_captures/eu-tfr-recast-2023/v0_3_repair/eur-lex.europa.eu__legal-content-EN-TXT__90a91a2c77.html,sources/http_captures/eu-tfr-recast-2023/v0_3_repair/eur-lex.europa.eu__legal-content-EN-TXT__90a91a2c77.json,
fatf-r15-vasp-travel-rule-2019,81,repair_replayable_trigger_anchor,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Public-statement-virtual-assets.html,capture_failed,,,,HTTPError 403
ftx-bankman-fried-doj-2022,89,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
genesis-sec-gemini-earn-2023,94,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
germany-bafin-binance-licence-withdrawal-2023,95,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
helix-doj-mixer-2020,98,repair_replayable_trigger_anchor,https://www.fincen.gov/news/news-releases/fincen-announces-60-million-civil-money-penalty-against-larry-dean-harmon,capture_failed,,,,HTTPError 404
india-fiu-offshore-vda-block-2023,107,repair_replayable_trigger_anchor,https://www.meity.gov.in/,capture_failed,,,,HTTPError 403
infura-alchemy-tornado-rpc-block-2022,111,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-coincheck-orders-2018,120,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
korea-fsc-ico-ban-2017,131,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kraken-sec-unregistered-exchange-2023,136,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kucoin-doj-2024,139,repair_replayable_trigger_anchor,https://www.fincen.gov/news/news-releases,capture_failed,,,,HTTPError 404
malaysia-sc-binance-disable-2021,147,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
netherlands-dnb-binance-warning-2021,158,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
oecd-carf-2022,163,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
okx-privacy-token-delist-2024,173,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-burnside-bitcoin-stock-exchange-2014,197,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-shavers-btcst-2013,199,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-v-ripple-2020,205,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-v-telegram-ton-2020,206,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
sec-voorhees-satoshidice-2014,208,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
shrem-faiella-bitcoin-exchange-2014,210,repair_replayable_trigger_anchor,https://www.justice.gov/usao-sdny/pr/bitcoin-exchangers-plead-guilty-manhattan-federal-court-connection-sale-approximately-1,captured;patched_fields=4,sha256:6162ec33c0cb6d353bf07bd86d04df88ba627da987833f21a9dbc0f375c2856a,sources/http_captures/shrem-faiella-bitcoin-exchange-2014/v0_3_repair/www.justice.gov__usao-sdny-pr-bitcoin-exchangers-plead-guilty-manhattan-federal-court-connection-sale-approximately-1__5c540d1fd5.html,sources/http_captures/shrem-faiella-bitcoin-exchange-2014/v0_3_repair/www.justice.gov__usao-sdny-pr-bitcoin-exchangers-plead-guilty-manhattan-federal-court-connection-sale-approximately-1__5c540d1fd5.json,
