year,temporal_tier,months_covered,source_frame_months,candidate_found_months,pending_months,searched_no_candidate_months,not_applicable_pre_market_months,source_unavailable_months,registry_raw_rows,distinct_in_frame_triggers,admitted_events,observation_closed_events,candidate_stubs,screened_rows,next_action
2006,,0,0,0,0,0,0,0,1,0,0,0,0,0,maintain exhausted-year receipts
2007,discovery_only_2007_2012,12,72,1,0,0,0,71,2,2,2,0,0,0,resolve source-unavailable receipts
2008,discovery_only_2007_2012,12,72,3,0,0,0,69,3,3,3,0,0,0,resolve source-unavailable receipts
2009,discovery_only_2007_2012,12,72,0,0,0,0,72,0,0,0,0,0,0,resolve source-unavailable receipts
2010,discovery_only_2007_2012,12,72,2,0,0,0,70,9,9,9,0,0,0,resolve source-unavailable receipts
2011,discovery_only_2007_2012,12,72,2,0,0,0,70,2,2,2,0,0,0,resolve source-unavailable receipts
2012,discovery_only_2007_2012,12,72,5,0,0,0,67,5,4,4,0,0,0,resolve source-unavailable receipts
2013,historical_baseline_2013_2016,12,72,9,14,0,0,49,14,12,11,0,0,0,triage pending source-frame months
2014,historical_baseline_2013_2016,12,72,14,30,0,0,28,24,21,19,0,0,0,triage pending source-frame months
2015,historical_baseline_2013_2016,12,72,10,54,0,0,8,13,8,8,0,0,2,triage pending source-frame months
2016,historical_baseline_2013_2016,12,72,3,69,0,0,0,4,2,2,0,0,1,triage pending source-frame months
2017,comparable_main_2017_present,12,72,10,62,0,0,0,16,12,11,0,0,2,triage pending source-frame months
2018,comparable_main_2017_present,12,72,15,57,0,0,0,23,17,16,0,0,5,triage pending source-frame months
2019,comparable_main_2017_present,12,72,12,60,0,0,0,17,14,12,0,0,3,triage pending source-frame months
2020,comparable_main_2017_present,12,72,15,57,0,0,0,22,14,13,0,0,4,triage pending source-frame months
2021,comparable_main_2017_present,12,72,24,48,0,0,0,47,41,37,0,0,2,triage pending source-frame months
2022,comparable_main_2017_present,12,72,36,36,0,0,0,75,64,61,0,0,4,triage pending source-frame months
2023,comparable_main_2017_present,12,72,42,30,0,0,0,99,83,80,0,0,6,triage pending source-frame months
2024,comparable_main_2017_present,12,72,35,37,0,0,0,70,53,51,0,0,9,triage pending source-frame months
2025,comparable_main_2017_present,12,72,22,50,0,0,0,41,27,26,0,0,7,triage pending source-frame months
2026,comparable_main_2017_present,5,30,5,25,0,0,0,5,3,1,0,0,2,triage pending source-frame months
