event_id,status,research_stratum,admission_tier,trigger_type,jurisdiction,layer,coverage_status,denominator_class,denominator_reason,denominator_artifact,rate_reportable,observed_change_count,observed_no_change_count,coverage_gap_count,direct_attribution_count,plausible_attribution_count,first_change_timestamp,source_file
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",l0_network,not_measured,observability_gap,ooni_queried_no_measurements; cp_not_ingested_v0_1,derived/l0_coverage_summary.md,no,0,0,0,0,0,,events/aeza-group-ofac-2025.yaml
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",l1_consensus,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/aeza-group-ofac-2025.yaml
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",l3_rpc,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/aeza-group-ofac-2025.yaml
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",l4_frontend,not_measured,observability_gap,not_measured_no_rate_denominator,events/*.yaml,no,0,0,0,0,0,,events/aeza-group-ofac-2025.yaml
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",asset_onchain,measured,descriptive_only_structural_circularity_v0_1,positive_onchain_receipts_only_no_independent_no_change_denominator,docs/paper_claims.md#c1--upper-layer-concentration-of-observed-reactions,no,1,0,0,1,0,2025-07-02T06:25:00+00:00,events/aeza-group-ofac-2025.yaml
aeza-group-ofac-2025,admitted,S1_ofac_sdn,empirical_case,ofac_sdn_designation,"US,UK",offramp_cex,not_measured,observability_gap,not_measured_no_rate_denominator,events/*.yaml,no,0,0,0,0,0,,events/aeza-group-ofac-2025.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",l0_network,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/alphabay-hansa-doj-2017.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",l1_consensus,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/alphabay-hansa-doj-2017.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",l3_rpc,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/alphabay-hansa-doj-2017.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",l4_frontend,measured,measured_rate_denominator,coverage_status_measured_under_layer_protocol,events/*.yaml,yes,1,0,0,1,0,2017-07-20T00:00:00+00:00,events/alphabay-hansa-doj-2017.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",asset_onchain,not_measured,observability_gap,not_measured_no_rate_denominator,events/*.yaml,no,0,0,0,0,0,,events/alphabay-hansa-doj-2017.yaml
alphabay-hansa-doj-2017,admitted,S3_doj_sec_cftc_fiod,empirical_case,doj_seizure_order,"US,NL",offramp_cex,not_applicable,not_applicable,layer_not_applicable_to_trigger_target,events/*.yaml,no,0,0,0,0,0,,events/alphabay-hansa-doj-2017.yaml
