event_id,research_stratum,empirical_shape,admission_tier,derived_archetype,changed_layer_signature,changed_layer_count,latency_regime,time_to_first_change_hours,trigger_is_action,has_recovery_signal,is_upper_layer_only,is_base_layer_observed
1inch-us-geofence-2021-09,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,false,true,false
1mdc-egold-account-freeze-2007-04,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
aave-arc-fireblocks-whitelist-2022-01,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,false,true,false
aave-tornado-frontend-block-2022-08,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,true,true,false
aeza-group-ofac-2025,S1_ofac_sdn,comparison,empirical_case,asset_only,asset_onchain,1,delayed,30.42,false,false,true,false
al-law-hezbollah-crypto-ofac-2024-03,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
algeria-finance-law-2018-crypto-prohibition,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
alphabay-hansa-doj-2017,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
apple-india-crypto-exchange-removal-2024-01,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,false,true,false
apple-uniswap-wallet-app-store-rejection-2023-03,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,false,true,false
argentina-bcra-banks-crypto-services-ban-2022-05,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
argentina-cnv-psav-registration-2024,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
argentina-uif-resolution-300-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
augur-v2-us-uk-geofence-2020-07,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,false,true,false
australia-asic-binance-derivatives-2023,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
bangladesh-bb-bitcoin-warning-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
bcbs-cryptoasset-prudential-standard-sco60-2022,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
belgium-fsma-binance-cease-2023,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
binance-4framework-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
binance-busd-wind-down-2024,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-cftc-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
binance-com-us-customer-geofence-2019-06,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-dex-29-country-geoblock-2019-07,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,delayed,576.0,false,false,true,false
binance-eea-usdt-spot-delisting-2025-03,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,672.0,false,false,true,false
binance-hamas-account-freeze-israel-2023-10,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-monero-global-delisting-2024-02,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,336.0,false,false,true,false
binance-netherlands-exit-2023-07,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-nigeria-naira-services-end-2024-03,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-palestinian-accounts-seizure-israel-2023-11,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-privacy-coin-delisting-2023,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-russia-exit-commex-2023,S5_corporate,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,true,false,true,false
binance-russia-gunmaker-asset-freeze-ukraine-2022-08,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-uk-new-user-halt-2023-10,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
binance-us-staking-end-2023,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
bitcoinica-shutdown-2012-05,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
bitfinex-cftc-retail-commodity-2016,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
bitfinex-tether-cftc-2021,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
bitfinex-tether-nyag-2021,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
bitfloor-capital-one-debanking-2013-04,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
bitmex-cftc-doj-2020,S3_doj_sec_cftc_fiod,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,false,false,true,false
bitmex-fincen-2024,S3_doj_sec_cftc_fiod,null_event,null_case,null_event,none,0,none,,false,false,false,false
bitriver-russia-mining-ofac-2022-04,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
bitstamp-greece-portugal-exit-2023,S5_corporate,null_event,null_case,null_event,none,0,none,,false,false,false,false
bittrex-privacy-coin-delisting-2021-01,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,336.0,false,false,true,false
bitzlato-doj-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,true,true,false
blender-ofac-2022,S1_ofac_sdn,comparison,empirical_case,frontend_only,l4_frontend,1,delayed,251.6,false,false,true,false
blockfi-multistate-cease-desist-bia-2021-07,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,delayed,72.0,false,false,true,false
blockfi-sec-lending-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
bolivia-bcb-crypto-prohibition-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,true,false,false
botnet-911-s5-ofac-2024-05,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
brazil-bacen-stablecoin-restriction-2023,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
brazil-bcb-comunicado-25306-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
btc-e-doj-2017,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
bybit-canada-exit-2023-05,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
bybit-france-exit-2024-12,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,528.0,false,false,true,false
bybit-singapore-exit-2022,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
cambodia-nbc-joint-crypto-prohibition-2018-05,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
canada-convoy-freeze-2022,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,acute,24.0,false,false,true,false
canada-csa-binance-withdrawal-2023,S4_nation_state,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,lagged,1920.0,false,false,true,false
celsius-bankruptcy-mashinsky-doj-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
cftc-defi-opyn-zeroex-deridex-2023-09,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
cftc-v-ftx-2022,S3_doj_sec_cftc_fiod,null_event,null_case,null_event,none,0,none,,false,false,false,false
cftc-v-ooki-dao-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,lagged,6192.0,false,false,true,false
chatex-ofac-2021,S1_ofac_sdn,comparison,empirical_case,multi_layer,asset_onchain+l4_frontend,2,acute,28.25,false,false,true,false
china-fentanyl-network-ofac-2023-10,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
china-ico-ban-2017-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
china-inner-mongolia-mining-ban-2021-05,S4_nation_state,comparison,empirical_case,other_single_layer,l1_consensus,1,synchronous,0.0,false,false,false,true
china-ndrc-mining-eliminated-industry-notice-2021-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
china-nft-secondary-trading-self-discipline-2022-06,S4_nation_state,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
china-pboc-banks-alipay-payment-channel-block-2021-06,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
china-pboc-banks-close-exchange-accounts-2014-04,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,delayed,72.0,false,false,true,false
china-pboc-crypto-ban-2013-12,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,delayed,312.0,false,false,true,false
china-pboc-crypto-ban-2021,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,acute,13.15,false,false,true,false
china-pboc-exchange-access-block-2019-06,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
china-pboc-exchange-shutdown-2017-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
china-search-engine-social-keyword-exchange-block-2021-06,S4_nation_state,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
china-sichuan-mining-ban-2021-06,S4_nation_state,comparison,empirical_case,other_single_layer,l1_consensus,1,none,,false,false,false,true
china-state-council-mining-crackdown-2021-05,S4_nation_state,comparison,empirical_case,multi_layer,l1_consensus+offramp_cex,2,none,,false,false,false,true
china-weibo-crypto-exchange-purge-2021-03,S4_nation_state,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
chinyong-kim-sang-man-dprk-it-worker-ofac-2023-05,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
chipmixer-doj-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,acute,17.1,false,false,true,false
circle-usdc-cryptex-freeze-2024,S5_corporate,comparison,empirical_case,asset_only,asset_onchain,1,acute,27.0,false,false,true,false
circle-usdc-svb-policy-statement-2023,S5_corporate,null_event,null_case,null_event,none,0,none,,false,false,false,false
circle-usdc-tornado-2022,S5_corporate,comparison,empirical_case,asset_only,asset_onchain,1,synchronous,0.0,true,false,true,false
cloudflare-ethereum-gateway-tornado-block-2022-08,S5_corporate,comparison,empirical_case,other_single_layer,l3_rpc,1,synchronous,0.0,true,true,false,false
coin-mx-doj-murgio-2015,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
coinbase-eu-usdt-stablecoin-delisting-2024-12,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
coinbase-india-exit-2022,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,72.0,false,false,true,false
coinbase-irs-john-doe-summons-2016,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,acute,24.0,false,false,true,false
coinbase-japan-exit-2023,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
coinflip-cftc-derivabit-2015,S3_doj_sec_cftc_fiod,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
consensys-metamask-infura-rpc-data-collection-2022-11,S5_corporate,null_event,null_case,null_event,none,0,none,,false,false,false,false
cryptex-ofac-2024,S1_ofac_sdn,comparison,anchor_case,multi_layer,asset_onchain+l4_frontend,2,acute,3.58,false,false,true,false
cryptex-uaps-pm2btc-ivanov-shakhmametov-doj-2024,S3_doj_sec_cftc_fiod,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,false,false,true,false
crypto-com-eu-usdt-stablecoin-delisting-2025-01,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,48.0,false,false,true,false
datacell-v-valitor-iceland-district-court-2012-07,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
derakhshan-alivand-irgc-crypto-ofac-2025-09,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
dkba-burma-scam-compound-ofac-2025-11,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
dprk-usdt-network-ofac-2025,S1_ofac_sdn,comparison,empirical_case,asset_only,asset_onchain,1,acute,21.63,false,false,true,false
dydx-canada-frontend-wind-down-2023-04,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,acute,17.0,false,false,true,false
dydx-tornado-account-block-2022-08,S5_corporate,comparison,anchor_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,true,true,true,false
eba-virtual-currencies-opinion-eba-op-2014-08,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
ebullion-doj-fbi-seizure-2008-08,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,delayed,96.0,false,false,true,false
ecuador-national-assembly-bitcoin-ban-2014-07,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
egold-doj-guilty-plea-2008-07,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
egold-doj-indictment-2007-04,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
egypt-cbe-banking-law-194-2020,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
ens-eth-domain-tornado-resolution-2022,S5_corporate,null_event,null_case,null_event,none,0,none,,false,false,false,false
etherscan-tornado-cash-ui-label-2022,S5_corporate,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,true,true,true,false
etoro-us-ada-trx-delisting-2021-12,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,lagged,792.0,false,false,true,false
eu-12th-russia-sanctions-2023,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-14th-russia-sanctions-spfs-2024,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-15th-russia-sanctions-2024,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-16th-russia-sanctions-2025,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-18th-russia-sanctions-casp-spfs-2025,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-19th-russia-sanctions-a7a5-crypto-ban-2025,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-20th-russia-sanctions-crypto-sectoral-ban-2026,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-8th-package-russia-crypto-services-ban-2022-10,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-amla-anti-money-laundering-authority-regulation-2024,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-amlr-eu-single-rulebook-2024,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-belarus-crypto-services-ban-2022,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-dac8-crypto-asset-reporting-directive-2023,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
eu-mica-2023,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-russia-crypto-wallet-cap-2022,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-russia-full-crypto-wallet-ban-2022,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
eu-tfr-recast-2023,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
evil-corp-ofac-2024-10,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
fatf-grey-list-crypto-related-actions-2023-2024,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
fatf-r15-vasp-travel-rule-2019,S6_supranational,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
fatf-targeted-update-va-vasp-2021,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
fatf-targeted-update-va-vasp-2023,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
fatf-virtual-currencies-key-definitions-2014,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
fincen-eric-powers-p2p-exchanger-2019-04,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
fincen-virtual-currency-msb-guidance-2013,S3_doj_sec_cftc_fiod,null_event,null_case,null_event,none,0,none,,false,false,false,false
france-amf-binance-psan-2022,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
fsb-crypto-asset-recommendations-2023,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
ftx-bankman-fried-doj-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
funnull-cdn-ofac-2025,S1_ofac_sdn,comparison,empirical_case,asset_only,asset_onchain,1,acute,7.78,false,false,true,false
g20-roadmap-crypto-asset-policy-2023,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
g7-hiroshima-crypto-statement-2023,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
garantex-besciokov-mira-serda-doj-2025,S3_doj_sec_cftc_fiod,comparison,anchor_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,false,false,true,false
garantex-ofac-2022,S1_ofac_sdn,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,true,true,false
gate-io-privacy-coin-perpetuals-delisting-2024-12,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
gemini-netherlands-exit-2023-11,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
