event_id,research_stratum,empirical_shape,admission_tier,applicable_layer_count,coverage_denominator_layer_count,non_na_layer_count,changed_layer_count,coverage_matched_changed_layer_count,cascade_breadth,non_na_cascade_breadth,time_to_first_change_hours,time_to_last_change_hours,cascade_span_hours,direct_attribution_layer_count,plausible_attribution_layer_count,recovered_layer_count,unrecovered_layer_count,recovery_unknown_layer_count,recovery_rate,mean_resolved_hours,coverage_measured_count,coverage_partial_count,coverage_gap_count,primary_source_count,semi_primary_source_count,primary_onchain_source_count,changed_action_count,changed_unique_action_count,has_large_target_set,is_reversal_event,trigger_is_action,target_is_privacy_tool
aeza-group-ofac-2025,S1_ofac_sdn,comparison,empirical_case,1,1,4,1,1,1.0,,30.42,30.42,0.0,1,0,0,0,1,0.0,,1,0,3,2,0,1,1,1,false,false,false,false
alphabay-hansa-doj-2017,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
belgium-fsma-binance-cease-2023,S4_nation_state,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,24.0,24.0,1,1,0,0,2,0.0,,1,1,0,2,0,0,2,2,false,false,false,false
binance-4framework-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,3,1,1,0.5,,0.0,0.0,0.0,1,0,0,0,1,0.0,,2,0,1,4,0,0,1,1,false,false,false,false
binance-russia-exit-commex-2023,S5_corporate,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,0,4,0,0,2,2,false,false,true,false
bitfinex-cftc-retail-commodity-2016,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
bitmex-cftc-doj-2020,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,0,4,0,0,2,2,false,false,false,false
bitzlato-doj-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,5,1,1,1.0,,0.0,0.0,0.0,1,0,0,1,0,0.0,,1,0,4,2,0,0,1,1,false,false,false,false
blender-ofac-2022,S1_ofac_sdn,comparison,empirical_case,1,1,3,1,1,1.0,,251.6,251.6,0.0,0,1,0,0,1,0.0,,1,0,2,1,1,0,1,1,true,false,false,false
blockfi-sec-lending-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
btc-e-doj-2017,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,3,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,2,1,0,0,1,1,false,false,false,false
canada-convoy-freeze-2022,S4_nation_state,comparison,empirical_case,1,1,1,1,1,1.0,1.0,24.0,24.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
canada-csa-binance-withdrawal-2023,S4_nation_state,comparison,empirical_case,2,2,2,2,2,1.0,1.0,1920.0,1920.0,0.0,2,0,0,0,2,0.0,,2,0,0,4,0,0,2,2,false,false,false,false
cftc-v-ooki-dao-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,6192.0,6192.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
chatex-ofac-2021,S1_ofac_sdn,comparison,empirical_case,2,2,4,2,2,1.0,,28.25,233.99,205.74,2,0,0,0,2,0.0,,2,0,2,5,0,1,2,2,true,false,false,false
china-pboc-crypto-ban-2013-12,S4_nation_state,comparison,empirical_case,1,1,2,1,1,1.0,,312.0,312.0,0.0,1,0,0,0,1,0.0,,1,0,1,1,0,0,1,1,false,false,false,false
china-pboc-crypto-ban-2021,S4_nation_state,comparison,empirical_case,1,1,3,1,1,1.0,,13.15,37.15,24.0,1,0,0,0,1,0.0,,1,0,2,2,0,0,2,2,false,false,false,false
chipmixer-doj-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,3,1,1,1.0,,17.1,17.1,0.0,1,0,0,0,1,0.0,,1,0,2,1,1,0,1,1,false,false,false,true
circle-usdc-tornado-2022,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,1,1,1,false,false,true,true
coinbase-india-exit-2022,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,72.0,72.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
coinbase-irs-john-doe-summons-2016,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,24.0,24.0,0.0,1,0,0,0,1,0.0,,1,0,1,1,0,0,1,1,false,false,false,false
coinflip-cftc-derivabit-2015,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
cryptex-ofac-2024,S1_ofac_sdn,comparison,anchor_case,3,3,6,2,2,0.6667,,3.58,27.0,23.42,2,0,0,0,2,0.0,,3,0,3,5,2,3,4,4,false,false,false,false
dprk-usdt-network-ofac-2025,S1_ofac_sdn,comparison,empirical_case,1,1,2,1,1,1.0,,21.63,21.63,0.0,1,0,0,0,1,0.0,,1,0,1,6,0,2,1,1,true,false,false,false
eu-12th-russia-sanctions-2023,S6_supranational,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
eu-mica-2023,S6_supranational,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
eu-russia-crypto-wallet-cap-2022,S6_supranational,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
eu-russia-full-crypto-wallet-ban-2022,S6_supranational,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,1,0,0,1,1,false,false,false,false
funnull-cdn-ofac-2025,S1_ofac_sdn,comparison,empirical_case,2,2,6,1,1,0.5,,7.78,10.25,2.47,1,0,0,0,1,0.0,,2,0,4,4,2,2,2,2,false,false,false,false
garantex-ofac-2022,S1_ofac_sdn,comparison,empirical_case,1,1,4,1,1,1.0,,0.0,0.0,0.0,1,0,0,1,0,0.0,,1,0,3,2,0,0,1,1,false,false,false,false
grinex-garantex-successor-ofac-2025,S1_ofac_sdn,comparison,empirical_case,1,1,5,1,1,1.0,,21.25,21.25,0.0,1,0,0,0,1,0.0,,1,0,4,3,0,1,1,1,true,false,false,false
helix-doj-mixer-2020,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,0,3,0,0,2,2,false,false,false,false
hydra-doj-2022,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,1,0,0,1,1,false,false,false,false
hydra-ofac-2022,S1_ofac_sdn,comparison,empirical_case,1,1,4,1,1,1.0,,0.0,0.0,0.0,1,0,0,1,0,0.0,,0,1,3,2,0,0,1,1,false,false,false,false
india-fiu-offshore-vda-block-2023,S4_nation_state,comparison,empirical_case,2,2,3,2,2,1.0,,432.0,432.0,0.0,0,2,0,0,2,0.0,,0,2,1,2,0,0,2,2,false,false,false,false
india-rbi-crypto-ban-2018,S4_nation_state,comparison,empirical_case,1,1,2,1,1,1.0,,2184.0,2184.0,0.0,1,0,0,0,1,0.0,,1,0,1,1,0,0,1,1,false,false,false,false
iran-ransomware-ofac-2018,S1_ofac_sdn,null_event,null_case,1,1,3,0,0,0.0,,,,,0,0,0,0,0,,,0,1,2,0,2,0,0,0,false,false,false,false
irgc-ransomware-ofac-2022,S1_ofac_sdn,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,false
korea-travel-rule-2022,S4_nation_state,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
kraken-sec-staking-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
kucoin-doj-2024,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,0,4,0,0,2,2,false,false,false,false
lazarus-entity-ofac-2019,S1_ofac_sdn,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,false
lazarus-laundering-ofac-2020,S1_ofac_sdn,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,true,false,false,false
