dimension,value,count
country,US,40
country,UK,5
country,EU,5
country,DE,4
country,corporate_global,4
country,AU,4
country,IN,2
country,NL,2
country,RU,2
country,CA,1
country,CN,1
country,PL,1
country,CH,1
country,KR,1
country,NG,1
country,PT,1
country,IS,1
country,TR,1
region,US,40
region,Europe (EU+UK+CH+non-bloc),13
region,Rest of World,13
region,Corporate (no jurisdiction),4
actor,US_OFAC,27
actor,US_SEC,3
actor,tether_usdt_issuer,3
actor,US_DOJ,2
actor,EU_Council,2
actor,US_DOJ_SDNY,2
actor,US_DOJ_FinCEN_OFAC_CFTC,1
actor,US_DOJ_NDCA,1
actor,CA_Government,1
actor,US_CFTC,1
actor,CN_PBOC,1
actor,US_DOJ_EDPA,1
actor,circle_usdc_issuer,1
actor,coinbase_inc,1
actor,IN_RBI,1
actor,KR_FSC,1
actor,NG_CBN,1
actor,NL_FIOD,1
actor,TR_CBRT,1
actor,uniswap_labs,1
us_vs_nonus,US,40
us_vs_nonus,non-US,13
