event_id,domain,input_url,probe_cc,since,until,query_hash,query_url,body_path,body_hash,query_error,result_count,metadata_count,country_count,probe_countries,measurement_ids,anomaly_count,confirmed_count,failure_count,denominator_class,rate_reportable
aeza-group-ofac-2025,aeza.net,https://aeza.net/,*,2025-06-01,2025-08-01,99dc9dc60c623466,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Faeza.net%2F&since=2025-06-01&until=2025-08-01&limit=100&test_name=web_connectivity,sources/l0_datasets/aeza-group-ofac-2025/aeza.net__ooni.json,900d9628df77748e28537e8145d59b9dd219cd571599dd578391fd16b88fe72e,,0,0,0,,,0,0,0,no_ooni_measurements,no
aeza-group-ofac-2025,aeza.ru,https://aeza.ru/,*,2025-06-01,2025-08-01,63610f004664d72d,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Faeza.ru%2F&since=2025-06-01&until=2025-08-01&limit=100&test_name=web_connectivity,sources/l0_datasets/aeza-group-ofac-2025/aeza.ru__ooni.json,dceb26e710c00af3722ce06a595c448385d87e9cb746bd3dc9043adf85afe793,,0,0,0,,,0,0,0,no_ooni_measurements,no
aeza-group-ofac-2025,aezadns.com,https://aezadns.com/,*,2025-06-01,2025-08-01,b2cc5ea5df5ffaee,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Faezadns.com%2F&since=2025-06-01&until=2025-08-01&limit=100&test_name=web_connectivity,sources/l0_datasets/aeza-group-ofac-2025/aezadns.com__ooni.json,c6cb42b1c4d5e0e0dad2c72194330449798262657c41a61437d9f9c34733a424,,0,0,0,,,0,0,0,no_ooni_measurements,no
binance-4framework-2023,binance.com,https://binance.com/,*,2023-10-21,2023-12-21,c4c6986f17a9620e,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fbinance.com%2F&since=2023-10-21&until=2023-12-21&limit=100&test_name=web_connectivity,sources/l0_datasets/binance-4framework-2023/binance.com__ooni.json,350b4c1a5750e8a48153341391b4a2ca4835a6131e7fa52a42535a392b35fc54,,0,0,0,,,0,0,0,no_ooni_measurements,no
blender-ofac-2022,blender.io,https://blender.io/,*,2022-04-06,2022-06-06,66a12c8644122d83,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fblender.io%2F&since=2022-04-06&until=2022-06-06&limit=100&test_name=web_connectivity,sources/l0_datasets/blender-ofac-2022/blender.io__ooni.json,55cc8995e161f11af62674cf2fe98f4771d69f330003cfda1976a0b60dca1ea2,,0,0,0,,,0,0,0,no_ooni_measurements,no
blender-ofac-2022,blender.to,https://blender.to/,*,2022-04-06,2022-06-06,e2a4039bdd3f3fac,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fblender.to%2F&since=2022-04-06&until=2022-06-06&limit=100&test_name=web_connectivity,sources/l0_datasets/blender-ofac-2022/blender.to__ooni.json,cae6dcd5d2faea9592c21a0f33bca142a59b99bc404001d3c1fd0ef954723328,,0,0,0,,,0,0,0,no_ooni_measurements,no
btc-e-doj-2017,btc-e.com,https://btc-e.com/,*,2017-06-26,2017-08-26,e8909ba41cbaecb4,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fbtc-e.com%2F&since=2017-06-26&until=2017-08-26&limit=100&test_name=web_connectivity,sources/l0_datasets/btc-e-doj-2017/btc-e.com__ooni.json,3487a402ec136d407a95a03618295238a327c3fc298857c9066086d386f371dc,,0,0,0,,,0,0,0,no_ooni_measurements,no
chatex-ofac-2021,chatex.com,https://chatex.com/,*,2021-10-08,2021-12-08,957dd1f8ab19d78c,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fchatex.com%2F&since=2021-10-08&until=2021-12-08&limit=100&test_name=web_connectivity,sources/l0_datasets/chatex-ofac-2021/chatex.com__ooni.json,af13da772b13b99d8887a0fd9140ec01bda26c5fbb92cf10112d3c05024f9737,,0,0,0,,,0,0,0,no_ooni_measurements,no
china-pboc-crypto-ban-2021,huobi.com,https://huobi.com/,*,2021-08-24,2021-10-24,e333763abcb1ec24,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fhuobi.com%2F&since=2021-08-24&until=2021-10-24&limit=100&test_name=web_connectivity,sources/l0_datasets/china-pboc-crypto-ban-2021/huobi.com__ooni.json,e2a8a89edda10f96bcddb2e7f73fcb83f4f0382f896f68272d7249178b832d63,,0,0,0,,,0,0,0,no_ooni_measurements,no
chipmixer-doj-2023,chipmixer.com,https://chipmixer.com/,*,2023-02-01,2023-04-15,71e61c175c231a1c,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fchipmixer.com%2F&since=2023-02-01&until=2023-04-15&limit=100&test_name=web_connectivity,sources/l0_datasets/chipmixer-doj-2023/chipmixer.com__ooni.json,09628301ad6306606d0ee1dc3d8010a7f31ff959862f2a6d47e674770db12110,,0,0,0,,,0,0,0,no_ooni_measurements,no
